b3a7208 | Artem Chepurnoy | Mon Jan 7 16:40:57 2019 +0200 | Bump version to 1.1.1+7
cf28999 | Artem Chepurnoy | Mon Jan 7 16:40:26 2019 +0200 | At least 22 move to complete 3x3 puzzle, at least 64 moves to complete 4x4 puzzle
78e4ac8 | Artem Chepurnoy | Sun Jan 6 15:28:46 2019 +0200 | Bump version to 1.1.0+6
88154c3 | Artem Chepurnoy | Sun Jan 6 15:18:19 2019 +0200 | Fix Google Play Games integration
d0b8582 | Artem Chepurnoy | Sun Jan 6 14:25:15 2019 +0200 | Merge branch 'master' of https://github.com/AChep/15puzzle
b0f894b | Artem Chepurnoy | Sun Jan 6 14:25:12 2019 +0200 | Test implementation of Google Play Games integration
ca1c39e | Artem Chepurnoy | Sun Jan 6 14:24:30 2019 +0200 | Board: Handle the situation where no board set correctly
5543ba5 | Artem Chepurnoy | Mon Dec 31 11:51:56 2018 +0200 | Add link to Play Store
224179e | Artem Chepurnoy | Sun Dec 30 15:36:48 2018 +0200 | Remove icon from README.md
f3762f8 | Artem Chepurnoy | Sun Dec 30 15:35:54 2018 +0200 | Fix formatting of README.md
1b3845c | Artem Chepurnoy | Sun Dec 30 15:34:32 2018 +0200 | Add README.md
8b73260 | Artem Chepurnoy | Sun Dec 30 12:43:00 2018 +0200 | Bump version to 1.0.1+2
6a3371b | Artem Chepurnoy | Sun Dec 30 12:39:13 2018 +0200 | Merge pull request #2 from AChep/dev
2dc0669 | Artem Chepurnoy | Sun Dec 30 12:37:40 2018 +0200 | Merge pull request #1 from AChep/dev
3b506dd | Artem Chepurnoy | Sun Dec 30 12:37:18 2018 +0200 | Move to an immutable state architecture (part 3)
ac9fcd0 | Artem Chepurnoy | Fri Dec 28 18:14:01 2018 +0200 | Move to an immutable state architecture (part 2)
9f90dbd | Artem Chepurnoy | Fri Dec 28 11:43:23 2018 +0200 | [Android] Don't load release-props for debug builds
0a6e190 | Artem Chepurnoy | Thu Dec 27 18:22:37 2018 +0200 | Move to an immutable state architecture (part 1)
5429bd0 | Artem Chepurnoy | Thu Dec 27 10:04:03 2018 +0200 | temp
9df7cc5 | Artem Chepurnoy | Sat Dec 22 21:52:27 2018 +0200 | Improve support for small screens in Game page
eec5d8d | Artem Chepurnoy | Sat Dec 22 18:52:39 2018 +0200 | Add support for small screens to Game page
5e54172 | Artem Chepurnoy | Sat Dec 22 18:29:01 2018 +0200 | [Android] Add .debug suffix for debug builds
e6b8c79 | Artem Chepurnoy | Sat Dec 22 17:51:28 2018 +0200 | [Android] Add icon and release signing config
8c65076 | Artem Chepurnoy | Fri Dec 21 13:10:53 2018 +0200 | Initial commit
2fcce0e | Artem Chepurnoy | Fri Dec 21 13:07:30 2018 +0200 | Initial commit
